file_prefix,cutoff_type,cutoff_frequency,PID,propulsive_peakforce_rfd_slope_between_events,propulsive_peakforce_rfd_instantaneous_average_between_events,propulsive_peakforce_rfd_instantaneous_peak_between_events,braking_peakforce_rfd_slope_between_events,braking_peakforce_rfd_instantaneous_average_between_events,braking_peakforce_rfd_instantaneous_peak_between_events,braking_propulsive_rfd_slope_between_events,braking_propulsive_rfd_instantaneous_average_between_events,braking_propulsive_rfd_instantaneous_peak_between_events,braking_net_vertical_impulse,propulsive_net_vertical_impulse,braking_to_propulsive_net_vertical_impulse,total_net_vertical_impulse,peak_force,average_force_of_braking_phase,average_force_of_propulsive_phase,takeoff_velocity,jump_height_takeoff_velocity,jump_height_net_vertical_impulse,movement_time,unweighting_time,braking_time,propulsive_time,lowering_displacement,frame_start_of_unweighting_phase,frame_start_of_breaking_phase,frame_start_of_propulsive_phase,frame_peak_force,trial_type,trial_number
F03_CTRL4,group_cutoff,26.648000000000003,F03,1008.7001435285316,1015.2223487048254,1776.6899678453337,6377.612198729327,6397.448872689571,16793.622196620563,9435.853242831046,9463.274107870753,16793.622196620563,155.9153282037653,77.47402750076648,77.88292564971331,191.98990429149327,1895.3352284210694,1369.6408059547011,1565.9197680648338,2.6525267591134503,0.3586084713462234,0.3586084713462226,0.862,0.676,0.1185,0.0675,-0.23995278049939536,1960,3312,3549,3684,CTRL,4
F03_CTRL5,group_cutoff,26.648000000000003,F03,1120.38206809529,1130.7779735688725,3127.4986206733156,6027.100646446146,6039.226021962174,14122.167836140841,9227.134501892357,9240.38779265346,14122.167836140841,154.79484536831518,83.46134842663352,70.80250887057692,191.93758690765188,1856.8074376969826,1327.9992661120443,1552.6942118609322,2.6519275399063384,0.35844646671323566,0.3584464667132359,0.8275,0.6375,0.115,0.075,-0.2315896269265763,2037,3312,3542,3692,CTRL,5
F03_EXTf1,group_cutoff,26.648000000000003,F03,2501.4483191608138,2530.35395797966,5706.836098791566,8004.179745406418,8020.58056737036,14041.922749690246,10352.328069537085,10363.392784308635,14041.922749690246,136.2797640914688,62.810013798128416,72.87097777459317,189.86440235903754,2033.5984302836791,1341.5670735300232,1655.603728086737,2.6204027325388966,0.34997504998457263,0.3499750499845722,0.8265,0.661,0.116,0.0495,-0.20532264684547183,2042,3364,3596,3695,EXTf,1
F03_EXTf2,group_cutoff,26.648000000000003,F03,1447.873776614671,1459.5302198997742,3501.103368667187,6020.210597875615,6033.418489334195,11970.703303472139,9009.054147704199,9023.276189267517,11970.703303472139,152.42980294199432,83.31693346845384,68.59356166971233,186.81230427987919,1859.7376576296829,1307.0546627151855,1548.5230296314992,2.5778011483185503,0.33868801020756556,0.33868801020756545,0.887,0.696,0.1155,0.0755,-0.22912740447461705,1929,3321,3552,3703,EXTf,2
F03_EXTf3,group_cutoff,26.648000000000003,F03,2548.7719712503954,2569.5693614607744,5620.321100932313,7062.241648076403,7076.548847670801,14096.741411458235,9922.891443247816,9933.085141747577,14096.741411458235,142.91214554826135,78.34512937146108,64.03948409801677,192.1724837961351,1939.283856701648,1314.5513407222948,1619.1274669635943,2.652355496200736,0.3585621650472096,0.3585621650472088,0.7725,0.5985,0.1065,0.0675,-0.2068354623267945,2165,3362,3575,3710,EXTf,3
F03_EXTf4,group_cutoff,26.648000000000003,F03,1623.9598452549537,1641.759888794443,4311.126456915634,7139.238208967192,7153.758019287191,12340.77877343446,10090.395929900933,10103.160527708747,12340.77877343446,143.79821347106707,73.73147279257452,69.49310080767637,191.6913241460713,1957.7066339069288,1322.3751121351688,1632.3933786909695,2.6475465436144203,0.3572631345873936,0.35726313458739384,0.8215,0.6465,0.114,0.061,-0.2060308899088236,2061,3354,3582,3704,EXTf,4
F03_EXTf5,group_cutoff,26.648000000000003,F03,2245.7375065390356,2275.461860209302,5158.908565937774,7167.785453719676,7180.34846144464,11642.363909902168,8894.471628738691,8901.01432558768,11642.363909902168,124.36614555151192,50.34690379783764,73.46776598968376,187.15304413107242,1912.548669171717,1305.3137935873683,1570.0721102215011,2.583662515881863,0.34022996921371035,0.34022996921370974,0.863,0.6955,0.124,0.0435,-0.22281618065479988,1924,3315,3563,3650,EXTf,5
F03_INTf1,group_cutoff,26.648000000000003,F03,3164.415991018257,3188.349510938771,5992.04844859452,7613.750540844056,7625.755614884073,14512.21040154132,10237.178931071532,10242.150723342389,14512.21040154132,138.90208132162272,75.34302100924197,63.01646334200754,192.50149766487743,1994.876716868684,1307.4577610650886,1664.831772589637,2.658264322827611,0.3601615295625961,0.3601615295625953,0.778,0.6095,0.106,0.0625,-0.192700855972504,2164,3383,3595,3720,INTf,1
F03_INTf2,group_cutoff,26.648000000000003,F03,2385.4748647951765,2406.1592815228455,5006.391169209266,7820.022099898204,7834.578584327731,14888.837006841786,11027.730467934625,11038.669977690615,14888.837006841786,137.63381660593515,73.5762449571096,63.492470682284306,191.49080575749846,1987.371121031546,1333.783475989171,1656.6497766408947,2.6399033017905595,0.35520333551502026,0.35520333551502015,0.824,0.661,0.1025,0.0605,-0.20182689550184948,2066,3388,3593,3714,INTf,2
F03_INTf3,group_cutoff,26.648000000000003,F03,2250.7083744444085,2263.30549658579,3321.0363010910805,6230.265719156035,6243.394137486307,11157.917790715583,8375.623793877117,8389.038631140498,11157.917790715583,140.32272391069182,71.83429727761205,67.98063219349032,190.83764853121977,1873.8931777489347,1271.6467337395666,1574.3097209595019,2.6365997239142294,0.35431488808076406,0.3543148880807644,0.894,0.707,0.1215,0.0655,-0.2174695878963654,1899,3313,3556,3687,INTf,3
F03_INTf4,group_cutoff,26.648000000000003,F03,1019.8161254298985,1030.6006634738972,2799.354944094317,5947.47956679087,5965.626109672412,13955.466574904858,8469.057343424804,8490.971162219306,13955.466574904858,149.23809887858724,73.4745237044225,75.22251151548387,189.34542633318958,1860.8636269090105,1301.0175937429765,1553.8992023703638,2.6116356166453256,0.34763713527677925,0.3476371352767799,0.7995,0.606,0.128,0.0655,-0.23957139382452206,2080,3292,3548,3679,INTf,4
F03_INTf5,group_cutoff,26.648000000000003,F03,1993.6720257110967,2015.4682699211442,5988.056066932622,6273.054562053183,6282.780756411643,10996.3408699953,8775.40536720237,8778.073651054392,10996.3408699953,139.28737268961578,77.76109738082343,61.00963237526733,192.95888992459243,1881.9919426453614,1228.8530295110984,1601.1601222854613,2.6674548556198134,0.36265623887715187,0.3626562388771512,0.805,0.618,0.118,0.069,-0.21146869633516605,2093,3329,3565,3703,INTf,5
F04_CTRL1,group_cutoff,26.648000000000003,F04,4833.690887672854,4850.941119725708,8275.100272175157,4846.299129536549,4851.195488461171,8275.100272175157,4854.998816422499,4851.371002888641,7169.83347082464,162.67676100649214,108.3038864632606,54.01005167676541,190.0026038959943,1918.0001618451818,1051.5415583848405,1546.024265988481,2.7002867780831714,0.371638566966911,0.37163856696691117,0.8395,0.586,0.15,0.1035,-0.18948972714366233,2082,3254,3554,3761,CTRL,1
