sport,cutoff_type,jump_type,trial_num_in_block,overall_recording_number,cutoff_frequency,PID,propulsive_peakforce_rfd_slope_between_events,propulsive_peakforce_rfd_instantaneous_average_between_events,propulsive_peakforce_rfd_instantaneous_peak_between_events,total_net_vertical_impulse,peak_force,maximum_force,average_force_of_propulsive_phase,takeoff_velocity,jump_height_takeoff_velocity,jump_height_net_vertical_impulse,movement_time,propulsive_time,frame_start_of_propulsive_phase,frame_peak_force,frame_of_potential_unweighting_start
FHOC,literature_cutoff,SQT,5,10,50,P07,4918.723929717922,4925.937112516872,9217.883907147218,117.88125379908647,1371.4906779306882,1371.4906779306882,964.3018849959766,2.2214518011930684,0.2515213101439311,0.25152131014393136,0.283,0.283,1716,1886,1437
FHOC,literature_cutoff,SQT,6,11,50,P07,5072.25699716195,5084.755744475062,9017.823707027885,116.42087481535266,1338.509994209341,1338.509994209341,982.974542921944,2.1915158291980488,0.24478805451710556,0.24478805451710556,0.282,0.282,1717,1874,1499
FHOC,literature_cutoff,SQT,7,14,50,P07,4355.107872133301,4363.769385086742,7417.332371320517,112.92184568395201,1321.2485505468335,1321.2485505468335,930.5047043247993,2.1287148465095855,0.2309595768476212,0.230959576847621,0.295,0.295,1704,1882,1486
FHOC,literature_cutoff,SQT,8,16,50,P07,4853.107929042215,4859.409414386319,7948.941991297703,118.72245598998802,1337.4293952534836,1337.4293952534836,947.5905035034126,2.24393668003179,0.25663872701284873,0.25663872701284957,0.295,0.295,1704,1870,1403
FHOC,literature_cutoff,SQT,9,18,50,P07,6503.310610458567,6513.910453825583,11567.532181575487,113.94576586708256,1422.7009464631142,1422.7009464631142,980.9303894640233,2.149751944685958,0.23554706542716913,0.23554706542716983,0.259,0.259,1740,1878,1625
FHOC,literature_cutoff,SQT,10,21,50,P07,5544.095024240173,5553.308950177085,9666.16437428462,115.58558201527448,1406.4698931540822,1406.4698931540822,967.8212636327503,2.1827829250157893,0.24284104473702778,0.24284104473702786,0.269,0.269,1730,1887,1310
FHOC,literature_cutoff,SQT,1,4,50,P08,852.8200349294979,853.7571929609011,2326.794531100779,108.26771624604669,964.6289772601659,964.6289772601659,736.8781707990056,1.954801654424407,0.1947629718725993,0.19476297187259956,0.545,0.545,1454,1910,-1
FHOC,literature_cutoff,SQT,2,5,50,P08,830.0749460996681,830.4607294177268,2601.499833989714,108.24176082773741,989.0958227062243,989.0958227062243,724.9203796833118,1.949341134383535,0.19367639440365375,0.19367639440365375,0.594,0.594,1405,1911,-1
FHOC,literature_cutoff,SQT,3,6,50,P08,756.8538184745203,757.4259423695709,1750.0411372317467,106.28912840268495,941.14245250503,941.14245250503,725.94840140452,1.9163116153768063,0.18716871596473314,0.1871687159647336,0.576,0.576,1423,1908,-1
FHOC,literature_cutoff,SQT,4,7,50,P08,754.5414700140872,754.5921362399625,2723.0062166096177,106.07366711407411,994.0597512819455,994.0597512819455,712.9503655654665,1.9050849023281748,0.18498208384703116,0.18498208384703094,0.644,0.644,1355,1910,-1
FHOC,literature_cutoff,SQT,5,8,50,P08,734.4514594053329,734.4253276539367,2759.377601829183,105.11528518901243,978.5113278870022,978.5113278870022,707.5022266882954,1.8908222939745307,0.18222267825642746,0.18222267825642766,0.648,0.648,1351,1913,-1
FHOC,literature_cutoff,SQT,6,13,50,P08,642.370004077416,642.4846351653711,1763.0788539103232,104.56532627982868,919.5211317696821,919.5211317696821,706.04756878768,1.883253454009267,0.18076674679091914,0.1807667467909199,0.643,0.643,1356,1907,-1
FHOC,literature_cutoff,SQT,7,16,50,P08,887.6752853382711,888.1801288735293,2124.476813338406,104.50622458654112,980.0835314139724,980.0835314139724,733.4537940862353,1.8841281976025412,0.1809347127931193,0.18093471279311926,0.541,0.541,1458,1906,-1
FHOC,literature_cutoff,SQT,8,17,50,P08,758.5000840253575,758.7718951246125,1560.0773156775977,107.15454821613396,957.7874969249912,957.7874969249912,717.4423613721494,1.932250816690546,0.1902952710805954,0.19029527108059552,0.611,0.611,1388,1911,-1
FHOC,literature_cutoff,SQT,9,20,50,P08,873.8425672046961,874.0550449024115,2792.324298386229,106.31330635156924,980.0922830363155,980.0922830363155,727.162983872548,1.9179586793378487,0.18749059610842939,0.18749059610842947,0.569,0.569,1430,1906,-1
FHOC,literature_cutoff,SQT,10,21,50,P08,794.288622992542,794.696923906954,2143.601268947881,107.6088572337742,951.6444042256205,951.6444042256205,724.5725740024867,1.9471743191664144,0.19324606672890873,0.19324606672890843,0.57,0.57,1429,1902,-1
FHOC,literature_cutoff,SQT,1,3,50,P09,2360.2160923998063,2362.6252766900698,7263.136993325315,150.46133558920874,1310.4598774786357,1310.4598774786357,1036.705912635844,2.384791469791048,0.2898690292756446,0.28986902927564484,0.382,0.382,3235,3834,2880
FHOC,literature_cutoff,SQT,2,6,50,P09,1919.283211762384,1919.938640557804,5181.728323839721,148.667895671169,1259.2215777970698,1259.2215777970698,986.4381998398778,2.3586935193431606,0.28355938420955273,0.2835593842095526,0.409,0.409,3181,3837,-1
FHOC,literature_cutoff,SQT,3,7,50,P09,2028.5500489214555,2029.7430267502632,5450.722325160634,147.7044588875928,1259.1932163297995,1259.1932163297995,997.4373518793394,2.3421360428299867,0.2795923161632675,0.27959231616326763,0.3995,0.3995,3200,3834,-1
FHOC,literature_cutoff,SQT,4,11,50,P09,3881.542246514761,3887.425166667669,6591.708070758032,151.34404519939045,1118.2122193620798,1251.9666004304156,1007.7021042195261,2.4050819993924386,0.29482260060150506,0.2948226006015055,0.405,0.405,3189,3453,2805
FHOC,literature_cutoff,SQT,5,13,50,P09,3488.819602006053,3492.9933582718613,5778.726281100884,148.42872044696142,1082.0214565403423,1234.844126241483,985.4011368363825,2.3595770226134043,0.28377185145999684,0.28377185145999595,0.414,0.414,3171,3433,2837
FHOC,literature_cutoff,SQT,6,14,50,P09,2001.659024890601,2002.6826484783526,3793.583609017078,144.49466155228768,1276.957504321134,1276.957504321134,971.7888306699788,2.2994327703693775,0.2694898606242911,0.26948986062429114,0.406,0.406,3187,3823,-1
FHOC,literature_cutoff,SQT,7,16,50,P09,2222.7194504733325,2224.4531252392876,5533.181607390172,144.96574538800678,1307.1732384436436,1307.1732384436436,1007.8255256719189,2.298799321772992,0.26934140274128276,0.26934140274128343,0.384,0.384,3231,3838,-1
FHOC,literature_cutoff,SQT,8,17,50,P09,2094.9155720518834,2095.8439257363098,4974.286363432882,143.9240339477619,1287.1791434667732,1287.1791434667732,981.6772102363393,2.2903172289904012,0.2673574418659669,0.26735744186596644,0.3975,0.3975,3204,3831,-1
FHOC,literature_cutoff,SQT,9,20,50,P09,1809.341912713988,1810.008854571503,4229.277099906583,141.7439139779615,1271.6750894000845,1271.6750894000845,954.691880717396,2.2481087230723635,0.25759392613425347,0.25759392613425347,0.431,0.431,3137,3841,-1
FHOC,literature_cutoff,SQT,10,21,50,P09,1766.9447103991477,1767.4534421749652,3212.5856405067025,151.85589233174704,1273.5169518841435,1273.5169518841435,955.2043875599659,2.421764085651573,0.29892667107807336,0.29892667107807386,0.441,0.441,3117,3837,-1
FHOC,literature_cutoff,SQT,1,2,50,P10,1940.6491662448204,1943.5960623447745,3867.30958427774,116.37195052298604,1087.6468317925237,1087.6468317925237,819.2417657655892,2.263764707726179,0.261194222831121,0.2611942228311208,0.376,0.376,1623,1917,1502
